iter	Passed	Remaining
0	0	922
1	1	822
2	2	780
3	3	768
4	3	763
5	4	764
6	5	753
7	6	751
8	6	753
9	7	747
10	8	757
11	9	757
12	9	753
13	10	753
14	11	754
15	12	753
16	12	748
17	13	748
18	14	747
19	15	744
20	16	749
21	16	748
22	17	746
23	18	741
24	18	739
25	19	736
26	20	734
27	21	729
28	21	729
29	22	728
30	23	731
31	24	734
32	25	733
33	25	731
34	26	730
35	27	728
36	27	728
37	28	730
38	29	729
39	30	731
40	31	731
41	32	732
42	32	731
43	33	730
44	34	727
45	34	725
46	35	723
47	36	722
48	37	722
49	38	722
50	38	722
51	39	722
52	40	721
53	41	720
54	41	719
55	42	718
56	43	716
57	44	716
58	44	714
59	45	714
60	46	714
61	47	713
62	47	711
63	48	710
64	49	710
65	50	708
66	50	707
67	51	706
68	52	706
69	53	705
70	53	705
71	54	703
72	55	703
73	56	702
74	56	702
75	57	700
76	58	699
77	59	698
78	59	697
79	60	696
80	61	696
81	62	696
82	62	691
83	63	690
84	64	689
85	64	688
86	65	687
87	66	686
88	67	685
89	68	687
90	68	687
91	69	688
92	70	687
93	71	686
94	71	685
95	72	684
96	73	683
97	74	683
98	74	682
99	75	680
100	76	680
101	77	679
102	77	679
103	78	678
104	79	678
105	80	679
106	81	679
107	82	679
108	83	678
109	83	678
110	84	678
111	85	678
112	86	676
113	86	675
114	87	674
115	88	673
116	88	671
117	89	671
118	90	670
119	91	670
120	92	669
121	92	668
122	93	667
123	94	665
124	94	664
125	95	663
126	96	661
127	97	660
128	97	660
129	99	662
130	99	661
131	100	662
132	101	663
133	102	663
134	103	662
135	104	661
136	104	660
137	105	660
138	106	660
139	107	661
140	108	660
141	108	658
142	109	657
143	110	656
144	111	654
145	111	653
146	112	652
147	113	654
148	114	654
149	115	655
150	116	655
151	117	654
152	117	652
153	118	651
154	119	650
155	120	649
156	120	648
157	121	648
158	122	647
159	123	647
160	123	645
161	124	644
162	125	642
163	125	641
164	126	640
165	127	639
166	128	639
167	129	639
168	130	641
169	131	642
170	132	641
171	133	641
172	133	640
173	134	639
174	135	639
175	136	638
176	136	636
177	137	635
178	138	635
179	139	634
180	140	633
181	140	633
182	141	632
183	142	631
184	143	631
185	143	630
186	144	629
187	145	629
188	146	628
189	147	627
190	147	626
191	148	625
192	149	624
193	149	623
194	150	622
195	151	622
196	152	620
197	153	619
198	153	618
199	154	617
200	155	616
201	155	616
202	156	615
203	157	613
204	158	613
205	158	612
206	159	612
207	160	612
208	161	611
209	162	610
210	163	609
211	163	608
212	164	607
213	165	606
214	166	606
215	166	605
216	167	604
217	168	603
218	168	602
219	169	601
220	170	600
221	171	599
222	171	598
223	172	597
224	173	596
225	174	596
226	175	596
227	176	596
228	177	596
229	177	595
230	178	594
231	179	593
232	179	592
233	180	591
234	181	591
235	182	590
236	183	589
237	183	588
238	184	588
239	185	587
240	186	586
241	186	585
242	187	584
243	188	584
244	189	583
245	190	583
246	190	582
247	191	581
248	192	579
249	192	578
250	193	577
251	194	576
252	195	576
253	196	575
254	196	574
255	197	574
256	198	573
257	199	572
258	199	571
259	200	570
260	201	569
261	201	568
262	202	568
263	203	567
264	204	566
265	205	565
266	205	564
267	206	564
268	207	563
269	207	562
270	208	561
271	209	560
272	210	559
273	211	559
274	211	558
275	212	557
276	213	557
277	214	556
278	214	555
279	215	554
280	216	553
281	216	552
282	217	551
283	218	550
284	219	549
285	219	549
286	220	548
287	221	547
288	222	546
289	222	545
290	223	544
291	224	543
292	225	543
293	226	542
294	226	542
295	227	541
296	228	540
297	229	539
298	229	538
299	230	537
300	231	537
301	232	536
302	233	536
303	233	535
304	234	534
305	235	533
306	236	532
307	236	532
308	237	531
309	238	530
310	239	529
311	239	528
312	240	528
313	241	527
314	242	526
315	242	525
316	243	525
317	244	524
318	245	523
319	245	522
320	246	521
321	247	520
322	247	519
323	248	519
324	249	518
325	250	518
326	251	517
327	252	516
328	253	516
329	254	515
330	254	514
331	255	514
332	256	513
333	257	513
334	258	512
335	259	512
336	259	511
337	260	510
338	261	509
339	261	508
340	262	507
341	263	507
342	264	506
343	265	505
344	266	505
345	266	504
346	267	503
347	268	502
348	269	501
349	269	501
350	270	500
351	271	499
352	272	499
353	273	498
354	273	497
355	274	496
356	275	495
357	275	494
358	276	493
359	277	493
360	278	492
361	278	491
362	279	490
363	280	490
364	281	489
365	281	488
366	282	487
367	283	486
368	284	486
369	285	485
370	285	484
371	286	484
372	287	483
373	288	482
374	289	481
375	289	481
376	290	480
377	291	479
378	292	478
379	292	477
380	293	477
381	294	476
382	295	476
383	296	475
384	297	474
385	297	473
386	298	472
387	299	471
388	299	471
389	300	470
390	301	469
391	302	469
392	303	468
393	304	467
394	304	466
395	305	465
396	306	465
397	306	464
398	307	463
399	308	463
400	309	462
401	310	461
402	311	461
403	312	460
404	313	460
405	314	459
406	315	459
407	316	459
408	317	459
409	318	458
410	319	458
411	320	457
412	321	457
413	322	456
414	323	456
415	324	455
416	325	455
417	326	455
418	327	454
419	328	454
420	330	453
421	331	453
422	332	453
423	333	452
424	334	452
425	335	451
426	336	450
427	337	450
428	338	450
429	339	450
430	341	450
431	341	449
432	342	449
433	344	448
434	345	448
435	346	448
436	347	447
437	348	447
438	349	446
439	350	446
440	351	445
441	352	444
442	353	444
443	354	443
444	355	443
445	356	442
446	357	442
447	358	441
448	359	440
449	360	440
450	361	439
451	362	439
452	363	438
453	363	437
454	364	437
455	365	436
456	366	435
457	367	435
458	368	434
459	369	434
460	370	433
461	371	432
462	372	432
463	373	431
464	374	431
465	375	430
466	376	430
467	377	429
468	378	428
469	379	427
470	380	427
471	381	426
472	382	426
473	383	425
474	384	424
475	385	424
476	386	423
477	387	422
478	388	422
479	388	421
480	389	420
481	390	419
482	391	419
483	392	418
484	393	417
485	394	416
486	394	416
487	395	415
488	396	414
489	397	413
490	398	413
491	399	412
492	400	411
493	401	410
494	401	409
495	402	408
